nome,tipo,caminho,pasta,tamanho_bytes,status_referencia,referenciado_em
"level-2.png","PNG","assets/media/accessory-craft/level-2.png","accessory-craft","367372","referenciado","sistema-de-craft.html"
"lords.png","PNG","assets/media/accessory-craft/lords.png","accessory-craft","93734","referenciado","sistema-de-craft.html"
"store.png","PNG","assets/media/accessory-craft/store.png","accessory-craft","395389","referenciado","sistema-de-craft.html"
"avalorinews.png","PNG","assets/media/articles/avalorinews.png","articles","7128672","sem referencia literal",""
"dark-totem-daily.png","PNG","assets/media/articles/dark-totem-daily.png","articles","39770","sem referencia literal",""
"divergence-system.png","PNG","assets/media/articles/divergence-system.png","articles","903439","sem referencia literal",""
"epic-stone.gif","GIF","assets/media/articles/epic-stone.gif","articles","5878","referenciado","stones-guia-completo.html"
"legendary-stone.gif","GIF","assets/media/articles/legendary-stone.gif","articles","6151","referenciado","stones-guia-completo.html"
"mystic-stone.gif","GIF","assets/media/articles/mystic-stone.gif","articles","6526","referenciado","stones-guia-completo.html"
"rare-stone.gif","GIF","assets/media/articles/rare-stone.gif","articles","5527","referenciado","stones-guia-completo.html"
"rune-system.gif","GIF","assets/media/articles/rune-system.gif","articles","13297536","referenciado","rune-system.html"
"spell-badge-upgrade.gif","GIF","assets/media/articles/spell-badge-upgrade.gif","articles","2077008","referenciado","spell-badge-upgrade.html"
"Background site.jpg","JPG","assets/media/brand/Background site.jpg","brand","313761","sem referencia literal",""
"Parcelamento.png","PNG","assets/media/brand/Parcelamento.png","brand","437390","sem referencia literal",""
"avalorium-logo.png","PNG","assets/media/brand/avalorium-logo.png","brand","2353336","referenciado","ammo.html; amulets.html; animus-mastery-soulpit.html; armors.html; backpacks.html; boots.html; category-colecionaveis.html; category-guias-e-utilidades.html; category-itens-e-equipamentos.html; category-scripts-zerobot.html; category-sistemas-do-servidor.html; character-upgrades.html; comandos-do-servidor.html; dark-totem-daily.html; divergence-system.html; dolls.html; exalted-forge.html; fabio-rockeiro-scripts.html; helmets.html; hireling-enchanter.html; hunts-custom.html; index.html; invasao-de-minibosses.html; legs.html; monster-hunter.html; mounts.html; outfit-mount-bonus.html; outfits.html; portables.html; pyramid-of-azhrkhal-three-asuras.html; reliquary-system.html; rings.html; roulette-system.html; rune-system.html; sanctum-of-fire-ice.html; search.html; shields.html; sistema-de-craft.html; spell-badge-upgrade.html; stones-guia-completo.html; tasks-system.html; the-fallen-usurpers.html; upgrade-stones.html; void-corruption-depths-inner-netherbound.html; void-corruption-depths-outer-void.html; weapons.html"
"avalorium-wordmark.png","PNG","assets/media/brand/avalorium-wordmark.png","brand","1148242","referenciado","index.html"
"fenrir-guardian-clean-v2.png","PNG","assets/media/brand/fenrir-guardian-clean-v2.png","brand","1805173","referenciado","index.html"
